Epoch,X,Y,Z,Score,NumBestPoints
2025/01/17 08:52:30.000,-2743924.388901699,4701384.856423361,3312935.1302704527,11,61
2025/01/17 08:52:31.000,-2743924.8734991993,4701383.537245118,3312934.223544508,11,66
2025/01/17 08:52:32.000,-2743918.9160573026,4701372.781991521,3312928.4359230986,10,71
2025/01/17 08:52:33.000,-2743921.468932582,4701376.376371818,3312931.860524663,10,86
2025/01/17 08:52:34.000,-2743922.026883195,4701380.570795024,3312934.7462367504,10,71
2025/01/17 08:52:35.000,-2743923.120163528,4701382.32795058,3312935.2810001224,10,75
2025/01/17 08:52:36.000,-2743920.0630807616,4701376.747938025,3312938.240671249,11,79
2025/01/17 08:52:37.000,-2743917.1168745686,4701360.87811152,3312913.9412455033,10,27
2025/01/17 08:52:38.000,-2743915.607412333,4701360.454655455,3312912.8833673475,9,27
2025/01/17 08:52:39.000,-2743913.830983291,4701357.750636462,3312911.2838188168,10,27
2025/01/17 08:52:40.000,-2743913.9889067565,4701357.137728771,3312910.602164495,10,46
2025/01/17 08:52:41.000,-2743912.2909219107,4701354.511657948,3312909.0969545306,11,27
2025/01/17 08:52:42.000,-2743913.095635606,4701355.070332606,3312909.686113204,10,45
2025/01/17 08:52:43.000,-2743911.9218133944,4701353.187339704,3312909.270965463,10,27
2025/01/17 08:52:44.000,-2743912.710736608,4701354.586543054,3312910.3122460954,10,27
2025/01/17 08:52:45.000,-2743911.0229546526,4701353.653228782,3312909.271233543,11,45
2025/01/17 08:52:46.000,-2743911.0019589057,4701350.229002405,3312908.05638695,11,27
2025/01/17 08:52:47.000,-2743910.371934387,4701348.1401759265,3312907.810927022,9,12
2025/01/17 08:52:48.000,-2743907.479613662,4701343.898723901,3312906.669657686,9,26
2025/01/17 08:52:49.000,-2743911.2753499732,4701347.780427719,3312909.4502446493,9,1
2025/01/17 08:52:50.000,-2743904.4204281857,4701338.830792304,3312903.957217713,9,15
2025/01/17 08:52:51.000,-2743905.6642001355,4701339.95721074,3312896.2729966342,9,12
2025/01/17 08:52:52.000,-2743906.646655097,4701341.318568302,3312903.9688303145,10,21
2025/01/17 08:52:53.000,-2743906.8429190204,4701342.854842293,3312904.964892137,10,25
2025/01/17 08:52:54.000,-2743907.4405564223,4701344.679003913,3312905.52660868,9,52
2025/01/17 08:52:55.000,-2743917.9764583223,4701365.9208018305,3312918.793634002,11,64
2025/01/17 08:52:56.000,-2743918.686268323,4701367.485494753,3312921.399571481,11,60
2025/01/17 08:52:57.000,-2743919.8944005524,4701368.063593705,3312922.652749952,11,57
2025/01/17 08:52:58.000,-2743920.2867257153,4701369.949267384,3312924.484581761,11,52
2025/01/17 08:52:59.000,-2743920.3662508605,4701370.118799953,3312923.535518958,11,37
2025/01/17 08:53:00.000,-2743925.445059431,4701375.408934866,3312909.9160133027,10,3
2025/01/17 08:53:01.000,-2743921.3354514423,4701368.065433015,3312918.269401572,9,12
2025/01/17 08:53:02.000,-2743926.1196777537,4701373.464504104,3312906.989285971,10,1
2025/01/17 08:53:03.000,-2743920.978466259,4701367.890495725,3312918.626123535,9,12
2025/01/17 08:53:04.000,-2743908.1470547225,4701347.031605028,3312905.7967649326,9,44
2025/01/17 08:53:05.000,-2743908.110954768,4701346.189452559,3312905.7542705233,9,44
2025/01/17 08:53:06.000,-2743908.6607621443,4701345.64268103,3312905.2852067575,9,44
2025/01/17 08:53:07.000,-2743907.633127123,4701344.338835204,3312902.1909873225,10,40
2025/01/17 08:53:08.000,-2743907.2457427685,4701343.686608222,3312903.079542791,10,46
2025/01/17 08:53:09.000,-2743907.390834133,4701344.547340796,3312905.0965886223,10,48
2025/01/17 08:53:10.000,-2743907.8542573554,4701344.912396208,3312905.383863476,9,23
2025/01/17 08:53:11.000,-2743907.95332413,4701344.150883228,3312905.400556961,9,44
2025/01/17 08:53:12.000,-2743906.907805847,4701342.509750896,3312904.620265133,9,44
2025/01/17 08:53:13.000,-2743904.6432791776,4701338.685965838,3312903.5186100574,10,21
2025/01/17 08:53:14.000,-2743905.277998554,4701340.158319878,3312904.324458608,9,23
2025/01/17 08:53:15.000,-2743905.0951349703,4701340.76610098,3312905.032890609,9,23
2025/01/17 08:53:16.000,-2743902.9398639877,4701333.49509056,3312902.9103714027,9,23
2025/01/17 08:53:17.000,-2743898.1745168343,4701332.491736019,3312901.3716318295,3,67
2025/01/17 08:53:18.000,-2743897.024896034,4701329.0277730515,3312899.860005616,3,67
2025/01/17 08:53:19.000,-2743894.5604937146,4701325.873587839,3312899.024024422,3,46
2025/01/17 08:53:20.000,-2743893.456745975,4701324.625545323,3312898.3856458077,3,66
2025/01/17 08:53:21.000,-2743892.3377143424,4701320.341822826,3312895.832450582,3,31
2025/01/17 08:53:22.000,-2743892.924668361,4701320.8483269345,3312896.824200463,3,26
2025/01/17 08:53:23.000,-2743894.1998797534,4701320.596303625,3312897.120309836,3,27
2025/01/17 08:53:24.000,-2743893.3297054064,4701318.920209481,3312896.2858130857,3,26
2025/01/17 08:53:25.000,-2743892.407647059,4701318.789202497,3312896.4703167994,3,11
